"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","metadataID"
"D0","99999","ZZ","zzz","2222-22-22","99:99","Surface","0","0","1","aaa","ZZ_zzz_NA_9999_Surface_0_fishScapesLimno.20190319",NA
"D1","15","MO","DeepHole","2023-03-14","08:30","PML","0","1","1",NA,"MO_DeepHole_20230314_0830_PML_1_Limno.Sample.20160505","Limno.Sample.20160505"
"D2","15","MO","DeepHole","2023-03-14","08:30","PML","0","1","2",NA,"MO_DeepHole_20230314_0830_PML_1_Limno.Sample.20160505","Limno.Sample.20160505"
"D3","15","MO","DeepHole","2023-03-14","08:30","hypo","3","3","1",NA,"MO_DeepHole_20230314_0830_hypo_3_Limno.Sample.20160505","Limno.Sample.20160505"
"D4","15","MO","DeepHole","2023-03-14","08:30","hypo","3","3","2",NA,"MO_DeepHole_20230314_0830_hypo_3_Limno.Sample.20160505","Limno.Sample.20160505"
"D5","15","MO","DeepHole","2023-06-06","11:13","PML","0","0.5","1",NA,"MO_DeepHole_20230606_1113_PML_0.5_Limno.Sample.20230529","Limno.Sample.20230529"
"D6","15","MO","DeepHole","2023-06-06","11:13","PML","0","0.5","2",NA,"MO_DeepHole_20230606_1113_PML_0.5_Limno.Sample.20230529","Limno.Sample.20230529"
"D7","15","MO","DeepHole","2023-06-06","11:13","hypo","5","5","1",NA,"MO_DeepHole_20230606_1113_hypo_5_Limno.Sample.20230529","Limno.Sample.20230529"
"D8","15","MO","DeepHole","2023-06-06","11:13","hypo","5","5","2",NA,"MO_DeepHole_20230606_1113_hypo_5_Limno.Sample.20230529","Limno.Sample.20230529"
"D9","15","MO","MO_Inlet2","2023-06-06","11:13","surface","0","0","1",NA,"MO_Inlet2_20230606_1113_surface_0_Limno.Sample.20230529","Limno.Sample.20230529"
"D10","15","MO","MO_Inlet2","2023-06-06","11:13","surface","0","0","2",NA,"MO_Inlet2_20230606_1113_surface_0_Limno.Sample.20230529","Limno.Sample.20230529"
"D11","15","MOST","MOST_01370","2023-06-06","11:13","surface","0","0","1",NA,"MOST_01370_20230606_1113_surface_0_Limno.Sample.20230529","Limno.Sample.20230529"
"D12","15","MOST","MOST_01370","2023-06-06","11:13","surface","0","0","2",NA,"MOST_01370_20230606_1113_surface_0_Limno.Sample.20230529","Limno.Sample.20230529"
"D13","15","MO","MO_Outlet","2023-06-06","11:13","surface","0","0","1",NA,"MO_Outlet_20230606_1113_surface_0_Limno.Sample.20230529","Limno.Sample.20230529"
"D14","15","MO","MO_Outlet","2023-06-06","11:13","surface","0","0","2",NA,"MO_Outlet_20230606_1113_surface_0_Limno.Sample.20230529","Limno.Sample.20230529"
