"filteredID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID","metadataID"
"F0","99999","ZZ","zzz","2222-22-22","99:99","Surface","0","0","aaa","ZZ_zzz_NA_9999_Surface_0_fishScapesLimno.20190319",NA
"F1","15","MO","DeepHole","2023-03-14","08:30","PML","0","1",NA,"MO_DeepHole_20230314_0830_PML_1_Limno.Sample.20160505","Limno.Sample.20160505"
"F2","15","MO","DeepHole","2023-03-14","08:30","hypo","3","3",NA,"MO_DeepHole_20230314_0830_hypo_3_Limno.Sample.20160505","Limno.Sample.20160505"
"F3","15","MO","MO_Inlet2","2023-03-14","08:30","surface","0","0",NA,"MO_Inlet2_20230314_0830_surface_0_Limno.Sample.20160505","Limno.Sample.20160505"
"F4","15","MOST","MOST_01234","2023-03-14","08:30","surface","0","0",NA,"MOST_01234_20230314_0830_surface_0_Limno.Sample.20160505","Limno.Sample.20160505"
"F5","15","MO","DeepHole","2023-06-06","11:13","PML","0","0.5",NA,"MO_DeepHole_20230606_1113_PML_0.5_Limno.Sample.20230529","Limno.Sample.20230529"
"F6","15","MO","DeepHole","2023-06-06","11:13","hypo","5","5",NA,"MO_DeepHole_20230606_1113_hypo_5_Limno.Sample.20230529","Limno.Sample.20230529"
"F7","15","MO","MO_Inlet2","2023-06-06","11:13","surface","0","0",NA,"MO_Inlet2_20230606_1113_surface_0_Limno.Sample.20230529","Limno.Sample.20230529"
"F8","15","MOST","MOST_01370","2023-06-06","11:13","surface","0","0",NA,"MOST_01370_20230606_1113_surface_0_Limno.Sample.20230529","Limno.Sample.20230529"
"F9","15","MO","MO_Outlet","2023-06-06","11:13","surface","0","0",NA,"MO_Outlet_20230606_1113_surface_0_Limno.Sample.20230529","Limno.Sample.20230529"
