"pocID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","metadataID"
"P0","99999","ZZ","zzz","2222-22-22","99:99","Surface","0","0","0","aaaa","aaa","ZZ_zzz_NA_9999_Surface_0_fishScapesLimno.20190319",NA
"P1","15","MO","DeepHole","2023-03-14","08:30","PML","0","1","120","1",NA,"MO_DeepHole_20230314_0830_PML_1_Limno.Sample.20160505","Limno.Sample.20160505"
"P2","15","MO","DeepHole","2023-03-14","08:30","hypo","3","3","120","1",NA,"MO_DeepHole_20230314_0830_hypo_3_Limno.Sample.20160505","Limno.Sample.20160505"
"P3","15","MO","MO_Inlet2","2023-03-14","08:30","surface","0","0","120","1",NA,"MO_Inlet2_20230314_0830_surface_0_Limno.Sample.20160505","Limno.Sample.20160505"
"P4","15","MOST","MOST_01234","2023-03-14","08:30","surface","0","0","120","1",NA,"MOST_01234_20230314_0830_surface_0_Limno.Sample.20160505","Limno.Sample.20160505"
"P5","15","MO","DeepHole","2023-06-06","11:13","PML","0","0.5","140","1",NA,"MO_DeepHole_20230606_1113_PML_0.5_Limno.Sample.20230529","Limno.Sample.20230529"
"P6","15","MO","DeepHole","2023-06-06","11:13","hypo","5","5","140","1",NA,"MO_DeepHole_20230606_1113_hypo_5_Limno.Sample.20230529","Limno.Sample.20230529"
"P7","15","MO","MO_Inlet2","2023-06-06","11:13","surface","0","0","140","1",NA,"MO_Inlet2_20230606_1113_surface_0_Limno.Sample.20230529","Limno.Sample.20230529"
"P8","15","MOST","MOST_01370","2023-06-06","11:13","surface","0","0","140","1",NA,"MOST_01370_20230606_1113_surface_0_Limno.Sample.20230529","Limno.Sample.20230529"
"P9","15","MO","MO_Outlet","2023-06-06","11:13","surface","0","0","140","1",NA,"MO_Outlet_20230606_1113_surface_0_Limno.Sample.20230529","Limno.Sample.20230529"
