lakeID,MO,,moieties,PML,hypo,MO_Inlet2,MOST_01234,stream3,stream4,point
site,DeepHole,,unfiltered,1,1,1,1,0,0,0
date,20230314,,filtered,1,1,1,1,0,0,0
time,830,,chloro,2,2,0,0,0,0,0
projectID,15,,POC,1,1,1,1,0,0,0
weather,sunny,,DOC,2,2,0,0,0,0,0
crew,SEJ,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,1,1,0,0,0
zoop tow depth,,,ions,0,0,1,1,0,0,0
comments,,,Volumes filtered,PML,hypo,stream1,stream2,stream3,stream4,point
,height,units,chloro,450,450,0,0,0,0,0
lake_staffGauge,2,ft,POC,120,120,120,120,0,0,0
stream1_staffGauge,25,cm,DNA,250,250,0,0,0,0,0
stream2_staffGauge,32,cm,,,,,,,,
stream3_staffGauge,NA,cm,,,,,,,,
stream4_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,DOsat,SpC,pH,ORP,PAR,PML,hypo,point
0,25,8,,,,,,1,NA,NA
0.25,,,,,,,,NA,NA,NA
0.5,25,8,,,,,,1,NA,NA
0.75,,,,,,,,NA,NA,NA
1,25,8,,,,,,1,NA,NA
1.5,,,,,,,,NA,NA,NA
2,10,3,,,,,,NA,NA,NA
2.5,,,,,,,,NA,NA,NA
3,10,1,,,,,,NA,1,NA
3.5,,,,,,,,NA,NA,NA
4,,,,,,,,NA,NA,NA
4.5,,,,,,,,NA,NA,NA
5,,,,,,,,NA,NA,NA
5.5,,,,,,,,NA,NA,NA
6,,,,,,,,NA,NA,NA
6.5,,,,,,,,NA,NA,NA
7,,,,,,,,NA,NA,NA
7.5,,,,,,,,NA,NA,NA
8,,,,,,,,NA,NA,NA
9,,,,,,,,NA,NA,NA
10,,,,,,,,NA,NA,NA
11,,,,,,,,NA,NA,NA
12,,,,,,,,NA,NA,NA
13,,,,,,,,NA,NA,NA
14,,,,,,,,NA,NA,NA
